,outeqt100,outeqt1000,outeqt200,outeqt250,outeqt300,outeqt400,outeqt500,outeqt600,outeqt700,outeqt800,outeqt850,outeqt925
22,363.743524339039,353.65197859365594,354.8849202253412,353.44980959958076,351.8086317533645,346.6746681839138,484.59513074906823,341.86397775640495,336.9059863720244,336.66517018242723,338.935046058715,341.3503500216471
23,363.93537624695534,354.1917690451753,354.41738145741095,353.07425831393994,351.5796495872792,346.6340910749989,484.35703118637304,341.6436721014843,336.4371338766496,336.449188194516,338.82108919505555,341.34496261488755
24,364.27785062254986,353.1693932551335,354.5827117054624,353.22513161050193,351.63075652888705,346.64239871193973,486.03760878706527,341.6002607149501,337.0092934627582,336.49099681164324,338.55939803137454,340.6699549946421
25,364.78371723666277,352.76060517776057,354.71448198686915,353.30940840255084,351.8089615083833,346.7946360678976,487.32881949042746,341.4503168896921,336.83027272056313,336.19542613476057,338.8610522935943,341.095145905753
26,365.24918631833594,353.00606271504745,355.3753015243395,353.7342150637271,352.1775037496414,347.08631050421246,486.01788265997936,341.780894695961,336.76218468667344,336.03958900601504,339.2274818268705,341.99038959658395
27,365.3060179230703,353.72228195753655,355.91904436123235,353.9996357048213,352.5211111638308,347.3830094843081,484.5140866649703,342.4659572174761,337.07528440314644,336.6273166766576,340.24772182118556,342.8260817898937
28,365.086124324312,353.1870340275838,356.3760867098271,354.4948142692144,352.9761624890079,347.75215468318396,484.53008059278085,342.65104879584044,338.00835072875697,337.37513327329486,340.5865710063033,342.5390236420726
29,365.29185197466296,354.1143797658328,356.1656478024915,354.16155909550537,352.55473043788413,347.5794333365063,485.2921320881607,342.5132898607769,337.23401467579384,337.32357616596147,340.3018026774047,342.4228193131576
30,365.0874270822824,354.80922016435727,355.7628849016244,353.85834459688726,352.22169900806944,347.5600075190076,485.22275293397416,342.5027667605752,337.3102858654881,337.69212333824885,340.2228078898901,342.6174446269921
31,365.1184273801064,354.8621409910013,355.45571323246907,353.59119505184,351.99959108123124,347.57124479175593,486.0760649647851,342.3570733025595,337.1877076580883,337.54725523436485,340.5157208589712,342.8898798736913
32,365.0094188026599,354.2062420364628,355.84950024037823,354.0999180536146,352.4503036804297,347.842140290986,486.44887163204896,342.31121513189163,337.1220670065474,336.88559883165885,340.0614956269844,342.3607912414154
33,365.06355541035595,353.5332856935741,355.92573318051836,354.0725221283686,352.4781428152021,347.844082518602,486.3488807976572,342.17889946509445,337.1902445611931,336.9636484933313,340.09747331788725,342.4821625741437
34,365.6561101404408,353.9971933397598,356.3649932009087,354.3606002340787,352.74502985695386,348.0432416743514,484.19336800574393,342.61320709809235,337.4479941429435,337.2063385559751,340.84126919219227,343.42515715247606
35,366.4813814506597,354.4621465774865,356.89750922565423,354.64553029408034,352.84638194007135,348.2412061317395,482.11406701525266,342.9608697498323,338.024074406672,337.79616705962957,341.61634138747314,344.01448538208075
36,365.6312525415832,354.45936821576885,357.19453620081055,354.72614544420054,352.9873501379454,349.0690572028261,483.9959512705409,343.39185887641503,338.16644322855706,337.5667973689448,339.6697123141502,341.67192323463144
37,366.2584869910399,355.2605836207764,356.88542016383303,354.41395257727515,352.593838450442,348.58923895352797,485.1213573735642,342.53238005839546,337.92651136654905,337.50094798331133,339.4168207756936,341.26816764839344
38,366.6530822289353,355.690318264748,356.50507862061147,354.1275548202041,352.4099969342353,348.28311095592994,485.6914774474137,342.14611421359984,337.82803124486287,337.344484886622,339.4719733988419,341.1119881699341
39,367.3541410631322,355.44728479236863,356.28169484208763,354.0159130298793,352.042613199385,347.91783721280774,484.9117456486826,341.6904796348897,337.46031266919505,337.0125574682679,339.43840722940354,341.3256892754459
40,367.0291487159111,354.71645712770226,356.34193289696134,354.29729532996134,352.26944023254896,347.74536169333624,483.9779131468438,341.20903317171434,336.95539615229404,336.9605122059665,339.90436513387857,341.60270344116833
41,367.76365531447266,353.2179480159257,356.5555740594311,354.5097765225927,352.1935149599355,347.775695082376,484.79889024558383,340.712262557385,336.90771255059724,336.70855510350907,339.8690888916635,341.8140437259409
42,368.3572889975862,352.40007336987486,357.1129591478619,354.79791717812975,352.18403089329695,347.6565450726504,484.58711180840055,340.24794709657374,337.3484448067381,336.713807974414,340.44126779507934,342.73329368662706
43,369.1315087031956,352.3691869656662,357.60347031204543,354.9372638417623,352.2057996700012,347.2975671765871,484.92643076015156,340.45790682971466,337.7739205412811,337.65570042286276,340.4263731767464,342.5406907391404
44,368.7153324390473,354.4268089834223,357.5152055392715,355.0670015698908,352.9461129535926,348.2908509948609,486.83970217719263,341.35279749876776,338.1061432477084,338.2993692530718,340.11171319157336,342.0305386215297
45,369.7641290498005,355.1724417940059,357.1347606948772,354.67941939618504,352.6604625071343,347.78906039727866,487.8653407075122,340.5940424991173,337.3410999426394,337.5580909366887,339.40128191560115,341.1444783032731
46,369.512217795208,354.817496377139,356.71987208450497,354.31097059271247,352.44711797604594,347.6168891770633,487.53259400967244,340.17190026237375,336.39861930478827,337.07074089854433,338.9569846188437,340.5042715907866
47,369.17790357653024,354.09377210864176,356.5623756163069,353.9545992942445,352.1750100182026,347.37640232795997,487.3342218435629,340.2191380245566,335.46578934180155,336.60426169439654,338.1847037544201,339.74435400305543
48,369.3125134869391,353.3355384582475,356.7924736508891,354.16604938745047,352.5167874877682,347.6119077486201,487.6187651299377,340.5708546971107,335.1517246257391,335.77467320541723,336.8738025649549,338.4087447421515
49,370.5287043086995,350.59891765025685,357.18862082249956,354.3025457567255,352.4418235358787,347.254985341708,488.5440851200834,340.2536664001955,334.6922574548112,334.9554225727962,336.16710472420306,337.9444429010355
50,370.91955594948377,349.4155124572248,357.3286511850309,354.53785138470784,352.5548922369469,347.74320639993306,489.34648543220885,341.0135732410062,335.616251969475,335.13384361512874,336.84748673918483,339.29031998219665
